retweet_count,favorite_count,user_followers_count,date
0,0,1,2020-05-04
11,23,22630,2020-05-12
2534,5306,1328,2020-05-13
56,938,1367872,2020-05-12
49,126,16205,2020-05-03
3605,5532,110326,2020-04-30
1656,3064,11105,2020-04-18
1183,3900,110984,2020-04-17
566,733,1182,2020-03-28
41,42,9710,2020-05-12
8,12,66662,2020-05-09
4,13,36308,2020-05-12
3098,4573,1493279,2020-05-08
260,269,1711477,2020-05-10
0,0,250,2020-05-14
7,3,3399,2020-05-14
201,1314,63388,2020-05-02
268,296,80323,2020-05-10
208,530,69629,2020-05-06
10188,16254,235725,2020-05-08
6330,16824,189820,2020-05-10
5,6,17399,2020-05-07
10433,14626,235725,2020-05-03
46,114,9483,2020-05-11
0,0,13022,2020-05-12
0,0,142,2020-05-10
65,66,28173,2020-03-19
419,952,214445,2020-05-14
2,6,67,2020-05-12
2012,4623,215310,2020-05-13
2931,4047,1493279,2020-03-14
52,256,249240,2020-05-13
245,1094,1461163,2020-05-21
92,103,9710,2020-03-31
2,2,7434,2020-05-15
297,781,282707,2020-05-20
0,0,11,2020-05-07
7,25,38666,2020-05-07
19416,49595,407479,2020-05-12
444,792,592399,2020-05-06
23,117,449818,2020-05-17
120,240,1389730,2020-04-12
1690,21422,260380,2020-05-17
297,473,5747,2020-05-07
93,901,478919,2020-05-08
14,43,10234,2020-05-21
209,188,127248,2020-05-25
0,0,9,2020-05-20
1028,2599,5272637,2020-05-25
1,3,35813,2020-05-22
59,217,16968,2020-04-29
8909,103004,10014457,2020-05-21
813,1448,140670,2020-05-12
15698,40247,1151190,2020-04-26
1515,2541,22768,2020-04-29
136,120,108403,2020-04-29
495,1599,472089,2020-03-30
197,816,13524,2020-04-26
70,98,2549,2020-04-15
1375,4500,1234390,2020-05-03
245,538,214445,2020-04-22
1,2,63,2020-04-20
614,602,168,2020-05-04
252,388,77687,2020-04-24
11964,24342,1749780,2020-05-02
346,240,29699,2020-04-29
3361,3954,52852,2020-03-07
1129,4490,1104139,2020-05-06
334,1841,527839,2020-03-16
62,328,211965,2020-04-22
95738,260395,89723,2020-05-08
105,101,1871754,2020-03-23
54,164,18638,2020-05-04
393,1449,6011291,2020-04-28
284,969,14236,2020-05-06
443,477,3532001,2020-04-29
219,1013,323884,2020-04-26
165,609,135817,2020-05-04
153,573,112875,2020-04-19
218,291,15900,2020-05-03
0,2,348,2020-05-07
5,13,5572,2020-04-25
272,1633,38670,2020-05-02
23362,59610,651936,2020-03-16
396,2753,151018,2020-04-30
490,402,1711477,2020-05-01
1799,3580,401986,2020-05-02
3,9,1605,2020-05-09
8290,31127,651936,2020-04-06
128,177,22777,2020-05-06
0,13,14236,2020-05-06
128,200,42439,2020-05-09
214,718,303616,2020-05-08
603,2192,556602,2020-05-08
19,28,33044,2020-04-28
14,15,12100,2020-04-22
309,525,477358,2020-04-26
6663,10295,235725,2020-05-02
10993,23471,1224015,2020-05-02
55,291,148148,2020-05-03
404,1690,289446,2020-05-03
34,261,341,2020-05-02
286,608,270183,2020-03-24
139,385,2923,2020-05-08
4,13,18094,2020-05-05
639,6426,3754759,2020-04-07
389,1020,255834,2020-05-04
9,16,14370,2020-04-24
779,3217,26146136,2020-03-16
54,70,24353,2020-04-25
627,765,7641,2020-05-03
337,1115,1749780,2020-05-02
121,350,184518,2020-04-05
97,426,14236,2020-05-06
33,84,472089,2020-05-04
8618,32922,1234390,2020-04-14
56,109,112875,2020-04-19
0,1,718,2020-04-26
379,855,214445,2020-05-08
313,504,517063,2020-04-29
3,12,1224015,2020-05-03
542,2812,1035661,2020-05-11
2,11,458874,2020-05-08
24,18,411001,2020-04-24
1,41,12362,2020-04-14
0,0,1515,2020-04-02
0,1,54,2020-04-14
817,2476,1263,2020-03-18
5631,27207,6780363,2020-04-17
57,78,59063,2020-03-27
1394,8983,26146136,2020-03-27
6132,39497,6780363,2020-04-02
4,48,8986,2020-04-30
84,162,11226,2020-03-02
3307,9514,1689113,2020-04-24
295,750,84177,2020-04-24
16,148,166290,2020-03-18
10,11,11226,2020-03-03
14,48,22079,2020-04-21
17921,22627,1873538,2020-03-24
33,56,131571,2020-04-21
2983,10232,5678721,2020-04-02
3170,6204,139368,2020-04-26
74,65,4515,2020-04-21
95,189,3532001,2020-04-06
113,256,767197,2020-04-15
250,463,214445,2020-03-30
73,470,128425,2020-04-15
5,16,3173,2020-04-21
1910,6332,3379016,2020-04-15
12003,24844,170567,2020-03-16
43,103,270183,2020-04-07
2,4,1097,2020-04-26
6,8,5130,2020-04-21
2319,8082,361343,2020-04-22
192,271,11060,2020-04-28
6,21,18410,2020-05-04
139,572,51677,2020-04-17
1,2,32,2020-04-14
1053,5330,26146136,2020-04-20
5,47,8516,2020-04-09
212,482,757308,2020-03-28
2770,7960,1572768,2020-03-21
13,41,3687,2020-04-22
68,116,6506,2020-04-17
1,2,1945,2020-04-27
16,27,778,2020-04-16
1686,2159,1365,2020-04-25
4100,11305,56489,2020-04-15
927,5138,1676440,2020-04-08
29,57,3,2020-04-26
0,11,48241,2020-04-02
2347,5986,807641,2020-05-05
14,118,112875,2020-04-19
12,20,1725,2020-04-03
988,2714,298399,2020-04-02
3715,9052,1676440,2020-04-08
92,157,650223,2020-03-21
208,419,757308,2020-04-04
1967,5471,1061449,2020-04-26
40,57,653768,2020-05-03
7,7,2479,2020-04-20
2392,4040,36572,2020-04-23
7695,14752,14496,2020-04-15
133,983,125310,2020-04-07
